term,sum_sq,df,F,PR(>F)
C(periodo),1475334.201118144,45.0,3.5902276239806072,6.3198918909296946e-15
C(nivelgral),49190229.98324407,1.0,5386.701878928842,0.0
Residual,114503513.95398712,12539.0,,
