anio,universidad,programa,facultad,nivel,estrato,sexo,departamento,total_matriculados,total_graduados,tasa_graduacion,balance_matricula_menos_graduacion,hay_matricula,hay_graduacion,hay_matricula_y_graduacion,alerta_graduados_superan_matricula
2021,Univalle,Maestría en Epidemiología,Facultad de Salud,Maestría,Sin información,Sin información,Sin información,58,0,0.0,58,true,false,false,false
2021,Univalle,Maestría en Fisioterapia,Facultad de Salud,Maestría,Sin información,Sin información,Sin información,8,0,0.0,8,true,false,false,false
2021,Univalle,Maestría en Salud Ocupacional,Facultad de Salud,Maestría,Sin información,Sin información,Sin información,42,0,0.0,42,true,false,false,false
2021,Univalle,Maestría en Salud Pública,Facultad de Salud,Maestría,Sin información,Sin información,Sin información,49,0,0.0,49,true,false,false,false
2021,Univalle,Psicología,Instituto de Psicología,Universitario,Sin información,Sin información,Sin información,320,0,0.0,320,true,false,false,false
2021,Univalle,Tecnología en Atención Prehospitalaria (Nocturno),Facultad de Salud,Tecnología,Sin información,Sin información,Sin información,337,0,0.0,337,true,false,false,false
2022,Univalle,Terapia Ocupacional,Facultad de Salud,Universitario,Sin información,Sin información,Sin información,194,0,0.0,194,true,false,false,false
2022,Univalle,Trabajo Social,Facultad de Humanidades,Universitario,Sin información,Sin información,Sin información,355,0,0.0,355,true,false,false,false
2023,Univalle,Administración de Empresas,Facultad de Ciencias de la Administración,Universitario,Sin información,Sin información,Sin información,0,11,0.0,-11,false,true,false,false
2023,Univalle,Comunicación Social,Facultad de Artes Integradas,Universitario,Sin información,Sin información,Sin información,0,2,0.0,-2,false,true,false,false
2023,Univalle,Contaduría Pública,Facultad de Ciencias de la Administración,Universitario,Sin información,Sin información,Sin información,0,2,0.0,-2,false,true,false,false
2023,Univalle,Diseño Industrial,Facultad de Artes Integradas,Universitario,Sin información,Sin información,Sin información,0,2,0.0,-2,false,true,false,false
2023,Univalle,Especialización en Administración de Empresas de la Construcción,Facultad de Artes Integradas,Especialización,Sin información,Sin información,Sin información,0,5,0.0,-5,false,true,false,false
2023,Univalle,Especialización en Administración y Desarrollo Inmobiliario,Facultad de Artes Integradas,Especialización,Sin información,Sin información,Sin información,0,1,0.0,-1,false,true,false,false
2023,Univalle,Licenciatura en Arte Dramático,Facultad de Artes Integradas,Universitario,Sin información,Sin información,Sin información,0,3,0.0,-3,false,true,false,false
2023,Univalle,Licenciatura en Historia,Facultad de Humanidades,Universitario,Sin información,Sin información,Sin información,0,3,0.0,-3,false,true,false,false
2023,Univalle,Licenciatura en Literatura,Facultad de Humanidades,Universitario,Sin información,Sin información,Sin información,0,6,0.0,-6,false,true,false,false
2023,Univalle,Maestría en Arquitectura y Urbanismo,Facultad de Artes Integradas,Maestría,Sin información,Sin información,Sin información,0,1,0.0,-1,false,true,false,false
2023,Univalle,Maestría en Culturas Audiovisuales,Facultad de Artes Integradas,Maestría,Sin información,Sin información,Sin información,0,1,0.0,-1,false,true,false,false
2023,Univalle,Psicología,Facultad de Psicología,Universitario,Sin información,Sin información,Sin información,0,2,0.0,-2,false,true,false,false
2023,Univalle,Tecnología Agroambiental,Facultad de Ingeniería,Tecnología,Sin información,Sin información,Sin información,0,1,0.0,-1,false,true,false,false
2023,Univalle,Tecnología en Dirección de Empresas Turísticas y Hoteleras,Facultad de Ciencias de la Administración,Tecnología,Sin información,Sin información,Sin información,0,3,0.0,-3,false,true,false,false
2023,Univalle,Tecnología en Electrónica,Facultad de Ingeniería,Tecnología,Sin información,Sin información,Sin información,0,2,0.0,-2,false,true,false,false
2023,Univalle,Tecnología en Sistemas de Información,Facultad de Ingeniería,Tecnología,Sin información,Sin información,Sin información,0,9,0.0,-9,false,true,false,false
